iter	Passed	Remaining
0	313	156442
1	564	140541
2	807	133812
3	1033	128167
4	1271	125906
5	1492	122918
6	1723	121410
7	1951	120025
8	2194	119704
9	2429	119045
10	2690	119612
11	2930	119177
12	3175	118969
13	3405	118213
14	3647	117942
15	3866	116966
16	4098	116455
17	4316	115580
18	4542	115002
19	4778	114678
20	5005	114170
21	5234	113738
22	5468	113408
23	5683	112727
24	5896	112033
25	6119	111570
26	6343	111133
27	6550	110419
28	6788	110251
29	7016	109928
30	7258	109814
31	7497	109647
32	7724	109306
33	7975	109307
34	8185	108751
35	8403	108312
36	8653	108291
37	8907	108299
38	9179	108504
39	9272	106633
40	9505	106416
41	9762	106459
42	10021	106512
43	10265	106385
44	10478	105950
45	10726	105864
46	10962	105662
47	11235	105804
48	11456	105446
49	11675	105077
50	11918	104930
51	12191	105037
52	12421	104762
53	12530	103490
54	12720	102918
55	12969	102828
56	13208	102654
57	13437	102404
58	13669	102172
59	13893	101887
60	13984	100641
61	14210	100390
62	14469	100371
63	14722	100293
64	14927	99896
65	15068	99085
66	15297	98861
67	15520	98602
68	15756	98422
69	15961	98049
70	16067	97085
71	16289	96831
72	16560	96867
73	16813	96790
74	17076	96766
75	17313	96592
76	17528	96291
77	17783	96211
78	18009	95974
79	18267	95904
80	18503	95716
81	18748	95570
82	18980	95361
83	19219	95184
84	19462	95021
85	19604	94373
86	19840	94184
87	19893	93135
88	20150	93055
89	20367	92786
90	20530	92273
91	20684	91732
92	20770	90897
93	21005	90724
94	21187	90324
95	21346	89832
96	21492	89293
97	21736	89164
98	21985	89053
99	22244	88977
100	22481	88812
101	22723	88665
102	22986	88598
103	23142	88121
104	23382	87962
105	23612	87766
106	23723	87133
107	23952	86938
108	24017	86154
109	24240	85943
110	24389	85473
111	24482	84813
112	24708	84621
113	24939	84442
114	25027	83787
115	25305	83768
116	25529	83569
117	25769	83422
118	25976	83167
119	26163	82849
120	26339	82500
121	26457	81975
122	26627	81613
123	26856	81435
124	27054	81163
125	27285	80989
126	27510	80798
127	27591	80187
128	27825	80024
129	28057	79855
130	28288	79683
131	28501	79457
132	28753	79341
133	28864	78839
134	29110	78705
135	29227	78226
136	29454	78044
137	29733	77996
138	29851	77528
139	29932	76970
140	30163	76800
141	30395	76629
142	30643	76501
143	30842	76250
144	31100	76142
145	31271	75822
146	31488	75614
147	31745	75503
148	32010	75408
149	32275	75309
150	32505	75127
151	32756	74994
152	32974	74784
153	33218	74634
154	33443	74438
155	33696	74304
156	33922	74110
157	34162	73945
158	34403	73782
159	34633	73596
160	34841	73362
161	35076	73184
162	35321	73026
163	35560	72855
164	35810	72706
165	36060	72555
166	36289	72361
167	36508	72147
168	36771	72019
169	37008	71840
170	37217	71605
171	37479	71472
172	37717	71292
173	37965	71131
174	38233	71004
175	38492	70860
176	38764	70740
177	38972	70501
178	39186	70273
179	39405	70054
180	39635	69855
181	39876	69674
182	40069	69410
183	40289	69193
184	40513	68982
185	40750	68794
186	40965	68568
187	41190	68359
188	41401	68126
189	41638	67937
190	41953	67872
191	42197	67691
192	42432	67496
193	42645	67265
194	42878	67065
195	43108	66862
196	43317	66625
197	43502	66351
198	43730	66145
199	43976	65964
200	44220	65780
201	44456	65584
202	44660	65341
203	44909	65162
204	45128	64941
205	45341	64710
206	45508	64415
207	45752	64229
208	45988	64031
209	46230	63841
210	46462	63637
211	46712	63459
212	46921	63222
213	47140	63000
214	47345	62760
215	47545	62513
216	47744	62265
217	48006	62099
218	48273	61939
219	48537	61774
220	48736	61527
221	48987	61344
222	49202	61117
223	49408	60878
224	49650	60683
225	49889	60486
226	50131	60290
227	50350	60067
228	50584	59861
229	50775	59605
230	50992	59380
231	51202	59147
232	51427	58931
233	51667	58732
234	51887	58511
235	52127	58311
236	52348	58091
237	52603	57907
238	52835	57699
239	53090	57514
240	53314	57296
241	53529	57069
242	53761	56858
243	53993	56648
244	54217	56430
245	54451	56222
246	54677	56005
247	54916	55801
248	55148	55591
249	55387	55387
250	55626	55182
251	55871	54985
252	56113	54782
253	56305	54532
254	56534	54317
255	56750	54090
256	56991	53887
257	57206	53658
258	57433	53441
259	57655	53220
260	57879	53000
261	58114	52790
262	58343	52575
263	58574	52362
264	58816	52157
265	59031	51929
266	59267	51720
267	59497	51505
268	59730	51292
269	59934	51055
270	60182	50854
271	60397	50627
272	60641	50423
273	60870	50207
274	61131	50016
275	61350	49791
276	61579	49575
277	61795	49347
278	62008	49117
279	62232	48897
280	62451	48672
281	62719	48485
282	62962	48278
283	63220	48082
284	63429	47850
285	63618	47602
286	63870	47401
287	64090	47177
288	64292	46940
289	64558	46749
290	64765	46515
291	65006	46305
292	65238	46090
293	65484	45883
294	65699	45655
295	65925	45435
296	66161	45221
297	66401	45010
298	66676	44822
299	66949	44632
300	67212	44436
301	67463	44230
302	67690	44010
303	67949	43809
304	68169	43584
305	68404	43367
306	68629	43144
307	68870	42932
308	69154	42746
309	69403	42537
310	69671	42340
311	69915	42128
312	70151	41911
313	70427	41718
314	70693	41518
315	70976	41328
316	71225	41117
317	71524	40935
318	71763	40718
319	72015	40508
320	72237	40281
321	72458	40054
322	72689	39832
323	72921	39611
324	73143	39384
325	73383	39167
326	73585	38930
327	73848	38725
328	74030	38477
329	74242	38246
330	74483	38029
331	74690	37795
332	74925	37575
333	75134	37342
334	75400	37137
335	75651	36924
336	75899	36710
337	76167	36506
338	76385	36277
339	76629	36060
340	76861	35838
341	77093	35616
342	77356	35408
343	77592	35187
344	77799	34953
345	78032	34731
346	78256	34504
347	78503	34288
348	78726	34062
349	78960	33840
350	79164	33605
351	79375	33373
352	79579	33139
353	79785	32905
354	80019	32683
355	80250	32460
356	80503	32246
357	80748	32028
358	81066	31839
359	81286	31611
360	81568	31407
361	81779	31175
362	82025	30957
363	82250	30730
364	82497	30512
365	82716	30284
366	82974	30069
367	83150	29825
368	83366	29596
369	83629	29383
370	83903	29173
371	84157	28957
372	84364	28724
373	84626	28510
374	84848	28282
375	85075	28056
376	85322	27837
377	85609	27630
378	85855	27410
379	86089	27186
380	86334	26965
381	86579	26744
382	86764	26505
383	87000	26281
384	87203	26047
385	87425	25820
386	87688	25604
387	87939	25384
388	88199	25167
389	88496	24960
390	88748	24740
391	89016	24524
392	89217	24290
393	89498	24078
394	89746	23856
395	89995	23635
396	90245	23413
397	90494	23191
398	90738	22968
399	90948	22737
400	91182	22511
401	91422	22286
402	91663	22062
403	91904	21838
404	92165	21619
405	92412	21395
406	92648	21170
407	92942	20957
408	93169	20729
409	93406	20503
410	93647	20278
411	93896	20055
412	94125	19827
413	94391	19607
414	94640	19384
415	94869	19156
416	95118	18932
417	95352	18705
418	95637	18488
419	95900	18266
420	96124	18037
421	96374	17813
422	96653	17594
423	96884	17366
424	97105	17136
425	97350	16910
426	97599	16685
427	97833	16457
428	98088	16233
429	98314	16004
430	98565	15779
431	98830	15556
432	99069	15329
433	99292	15099
434	99606	14883
435	99897	14663
436	100175	14441
437	100423	14215
438	100647	13985
439	100901	13759
440	101149	13532
441	101405	13306
442	101698	13085
443	101980	12862
444	102221	12634
445	102459	12405
446	102747	12182
447	102964	11951
448	103195	11721
449	103463	11495
450	103722	11269
451	103949	11038
452	104173	10808
453	104410	10578
454	104633	10348
455	104866	10118
456	105123	9891
457	105395	9665
458	105637	9436
459	105868	9205
460	106146	8979
461	106424	8753
462	106685	8525
463	106900	8294
464	107139	8064
465	107384	7834
466	107593	7602
467	107834	7373
468	108061	7142
469	108328	6914
470	108569	6684
471	108820	6455
472	109036	6224
473	109272	5993
474	109502	5763
475	109713	5531
476	109936	5300
477	110179	5071
478	110395	4839
479	110675	4611
480	110906	4380
481	111122	4149
482	111368	3919
483	111596	3689
484	111825	3458
485	112037	3227
486	112292	2997
487	112492	2766
488	112811	2537
489	113044	2307
490	113272	2076
491	113491	1845
492	113754	1615
493	113976	1384
494	114213	1153
495	114490	923
496	114729	692
497	115023	461
498	115269	231
499	115543	0
