
> nextn@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.100.208.212:3000
- Environments: .env

✓ Starting...
✓ Ready in 1363ms
 POST /api/check-eligibility 200 in 354ms (compile: 282ms, render: 72ms)
 POST /api/check-eligibility 200 in 380ms (compile: 325ms, render: 55ms)
 POST /api/check-eligibility 200 in 21ms (compile: 13ms, render: 8ms)
 POST /api/check-eligibility 200 in 20ms (compile: 11ms, render: 9ms)
 POST /api/check-eligibility 200 in 16ms (compile: 4ms, render: 12ms)
 POST /api/check-eligibility 200 in 11ms (compile: 3ms, render: 8ms)
 POST /api/check-eligibility 200 in 9ms (compile: 4ms, render: 5ms)
 POST /api/check-eligibility 200 in 9ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 14ms (compile: 8ms, render: 7ms)
 POST /api/check-eligibility 200 in 12ms (compile: 4ms, render: 8ms)
 POST /api/check-eligibility 200 in 13ms (compile: 3ms, render: 10ms)
 POST /api/check-eligibility 200 in 7ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 6ms)
 POST /api/check-eligibility 200 in 20ms (compile: 5ms, render: 15ms)
 POST /api/check-eligibility 200 in 30ms (compile: 10ms, render: 21ms)
 POST /api/check-eligibility 200 in 22ms (compile: 11ms, render: 11ms)
 POST /api/check-eligibility 200 in 22ms (compile: 11ms, render: 11ms)
 POST /api/check-eligibility 200 in 16ms (compile: 5ms, render: 11ms)
 POST /api/check-eligibility 200 in 19ms (compile: 13ms, render: 6ms)
 POST /api/check-eligibility 200 in 26ms (compile: 3ms, render: 23ms)
 POST /api/check-eligibility 200 in 16ms (compile: 4ms, render: 12ms)
 POST /api/check-eligibility 200 in 12ms (compile: 3ms, render: 9ms)
 POST /api/check-eligibility 200 in 15ms (compile: 5ms, render: 11ms)
 POST /api/check-eligibility 200 in 15ms (compile: 4ms, render: 11ms)
 POST /api/check-eligibility 200 in 19ms (compile: 4ms, render: 15ms)
 POST /api/check-eligibility 200 in 14ms (compile: 5ms, render: 9ms)
 POST /api/check-eligibility 200 in 15ms (compile: 3ms, render: 12ms)
 POST /api/check-eligibility 200 in 13ms (compile: 3ms, render: 9ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 11ms (compile: 4ms, render: 7ms)
 POST /api/check-eligibility 200 in 12ms (compile: 5ms, render: 7ms)
 POST /api/check-eligibility 200 in 11ms (compile: 4ms, render: 8ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 6ms)
 POST /api/check-eligibility 200 in 10ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 16ms (compile: 6ms, render: 10ms)
 POST /api/check-eligibility 200 in 13ms (compile: 3ms, render: 10ms)
 POST /api/check-eligibility 200 in 12ms (compile: 4ms, render: 8ms)
 POST /api/check-eligibility 200 in 7ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 13ms (compile: 4ms, render: 8ms)
 POST /api/check-eligibility 200 in 9ms (compile: 2ms, render: 7ms)
 POST /api/check-eligibility 200 in 8ms (compile: 3ms, render: 4ms)
 POST /api/check-eligibility 200 in 13ms (compile: 7ms, render: 7ms)
 POST /api/check-eligibility 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 7ms)
 POST /api/check-eligibility 200 in 20ms (compile: 4ms, render: 16ms)
 POST /api/check-eligibility 200 in 12ms (compile: 3ms, render: 9ms)
 POST /api/check-eligibility 200 in 9ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 12ms (compile: 4ms, render: 7ms)
 POST /api/check-eligibility 200 in 15ms (compile: 6ms, render: 8ms)
 POST /api/check-eligibility 200 in 18ms (compile: 6ms, render: 12ms)
 POST /api/check-eligibility 200 in 18ms (compile: 6ms, render: 11ms)
 POST /api/check-eligibility 200 in 12ms (compile: 5ms, render: 6ms)
 POST /api/check-eligibility 200 in 14ms (compile: 5ms, render: 9ms)
 POST /api/check-eligibility 200 in 10ms (compile: 5ms, render: 5ms)
 POST /api/check-eligibility 200 in 11ms (compile: 3ms, render: 8ms)
 POST /api/check-eligibility 200 in 7ms (compile: 3ms, render: 4ms)
 POST /api/check-eligibility 200 in 12ms (compile: 5ms, render: 7ms)
 POST /api/check-eligibility 200 in 11ms (compile: 4ms, render: 8ms)
 POST /api/check-eligibility 200 in 7ms (compile: 3ms, render: 4ms)
 POST /api/check-eligibility 200 in 10ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 8ms (compile: 2ms, render: 6ms)
 POST /api/check-eligibility 200 in 14ms (compile: 3ms, render: 11ms)
 POST /api/check-eligibility 200 in 17ms (compile: 6ms, render: 10ms)
 POST /api/check-eligibility 200 in 8ms (compile: 1814µs, render: 6ms)
 POST /api/check-eligibility 200 in 17ms (compile: 3ms, render: 14ms)
 POST /api/check-eligibility 200 in 18ms (compile: 7ms, render: 11ms)
 POST /api/check-eligibility 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/check-eligibility 200 in 8ms (compile: 2ms, render: 6ms)
 POST /api/check-eligibility 200 in 25ms (compile: 7ms, render: 18ms)
 POST /api/check-eligibility 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/check-eligibility 200 in 10ms (compile: 4ms, render: 6ms)
 POST /api/check-eligibility 200 in 11ms (compile: 3ms, render: 8ms)
 POST /api/check-eligibility 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/check-eligibility 200 in 10ms (compile: 5ms, render: 5ms)
 POST /api/check-eligibility 200 in 12ms (compile: 3ms, render: 9ms)
 POST /api/check-eligibility 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/check-eligibility 200 in 24ms (compile: 5ms, render: 19ms)
 POST /api/check-eligibility 200 in 9ms (compile: 3ms, render: 6ms)
 POST /api/check-eligibility 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/check-eligibility 200 in 11ms (compile: 5ms, render: 6ms)
 POST /api/check-eligibility 200 in 7ms (compile: 1857µs, render: 5ms)
 POST /api/check-eligibility 200 in 16ms (compile: 3ms, render: 13ms)
 POST /api/check-eligibility 200 in 17ms (compile: 7ms, render: 10ms)
 POST /api/check-eligibility 200 in 9ms (compile: 2ms, render: 7ms)
 POST /api/check-eligibility 200 in 18ms (compile: 2ms, render: 16ms)
 POST /api/check-eligibility 200 in 21ms (compile: 7ms, render: 14ms)
 POST /api/check-eligibility 200 in 18ms (compile: 8ms, render: 9ms)
 POST /api/check-eligibility 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/check-eligibility 200 in 12ms (compile: 6ms, render: 6ms)
 POST /api/check-eligibility 200 in 6ms (compile: 1973µs, render: 4ms)
 POST /api/check-eligibility 200 in 13ms (compile: 3ms, render: 10ms)
 POST /api/check-eligibility 200 in 20ms (compile: 7ms, render: 13ms)
 POST /api/check-eligibility 200 in 9ms (compile: 2ms, render: 7ms)
 POST /api/check-eligibility 200 in 14ms (compile: 3ms, render: 11ms)
 POST /api/check-eligibility 200 in 16ms (compile: 7ms, render: 9ms)
 POST /api/check-eligibility 200 in 13ms (compile: 5ms, render: 8ms)
 POST /api/check-eligibility 200 in 14ms (compile: 7ms, render: 7ms)
 POST /api/check-eligibility 200 in 17ms (compile: 3ms, render: 13ms)
 POST /api/check-eligibility 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/check-eligibility 200 in 5ms (compile: 1733µs, render: 3ms)
 POST /api/check-eligibility 200 in 7ms (compile: 1635µs, render: 5ms)
 POST /api/check-eligibility 200 in 7ms (compile: 1995µs, render: 5ms)
